Crop Type,Nitrogen (N),Phosphorus (P),Potassium (K),Soil pH,Soil Type,Target Fertilizer
Wheat,20,18,30,7.1,Loamy,NPK 10-26-26
Maize,68,44,39,8.1,Loamy,NPK 10-26-26
Rice,35,40,21,4.7,Loamy,DAP
Wheat,38,40,26,7.4,Loamy,NPK 10-26-26
Wheat,39,15,26,8.0,Sandy,NPK 15-15-15
Cotton,65,26,45,8.2,Clayey,NPK 10-26-26
Wheat,50,39,17,8.5,Silty,DAP
Maize,58,37,21,4.7,Sandy,NPK 10-26-26
Maize,51,30,35,8.1,Sandy,NPK 10-26-26
Wheat,22,25,16,8.4,Sandy,NPK 15-15-15
Maize,67,36,26,8.0,Clayey,NPK 10-26-26
Sugarcane,114,51,63,5.4,Sandy,DAP
Sugarcane,89,41,65,5.2,Clayey,NPK 10-26-26
Cotton,52,24,30,7.5,Clayey,NPK 10-26-26
Sugarcane,84,45,74,7.8,Sandy,DAP
Maize,65,43,35,6.7,Sandy,NPK 10-26-26
Sugarcane,96,56,68,8.0,Clayey,DAP
Maize,75,30,28,7.8,Loamy,NPK 10-26-26
Wheat,35,12,19,7.5,Silty,NPK 15-15-15
Rice,42,22,18,4.8,Sandy,NPK 15-15-15
Sugarcane,108,58,67,6.9,Sandy,DAP
Sugarcane,102,53,75,5.2,Sandy,DAP
Cotton,69,36,41,8.1,Sandy,NPK 10-26-26
Sugarcane,83,41,85,7.8,Clayey,NPK 10-26-26
Maize,55,33,22,7.2,Silty,NPK 10-26-26
Maize,68,32,39,7.7,Clayey,NPK 10-26-26
Wheat,29,10,15,7.7,Sandy,NPK 15-15-15
Sugarcane,91,49,65,8.0,Silty,DAP
Sugarcane,99,59,76,7.7,Loamy,DAP
Cotton,52,38,43,5.5,Silty,NPK 10-26-26
Wheat,48,19,19,8.2,Sandy,Urea
Maize,68,37,21,7.7,Clayey,NPK 10-26-26
Sugarcane,117,56,82,8.2,Silty,DAP
Cotton,53,24,39,8.3,Clayey,NPK 10-26-26
Maize,71,39,26,7.5,Clayey,NPK 10-26-26
Wheat,42,16,30,6.3,Loamy,NPK 15-15-15
Cotton,70,36,38,5.3,Loamy,NPK 10-26-26
Cotton,40,34,50,6.2,Sandy,NPK 10-26-26
Rice,42,32,28,5.8,Loamy,NPK 10-26-26
Maize,71,50,39,7.9,Silty,DAP
Cotton,40,39,41,7.7,Loamy,NPK 10-26-26
Maize,51,36,38,4.8,Sandy,NPK 10-26-26
Maize,61,41,20,5.7,Silty,DAP
Wheat,26,35,24,6.0,Clayey,NPK 10-26-26
Maize,52,48,34,6.0,Clayey,DAP
Cotton,55,38,49,8.1,Sandy,NPK 10-26-26
Sugarcane,92,53,80,5.3,Loamy,DAP
Rice,44,29,26,7.6,Clayey,NPK 10-26-26
Rice,60,23,18,5.0,Clayey,Urea
Maize,56,43,29,8.4,Loamy,NPK 10-26-26
Rice,38,30,30,4.9,Sandy,NPK 10-26-26
Maize,79,31,37,7.6,Sandy,NPK 10-26-26
Maize,64,37,20,7.7,Silty,NPK 10-26-26
Sugarcane,93,47,63,5.2,Clayey,DAP
Cotton,57,28,48,5.2,Sandy,NPK 10-26-26
Rice,48,33,24,5.6,Silty,NPK 10-26-26
Cotton,70,25,49,7.9,Silty,NPK 10-26-26
Rice,41,31,15,6.8,Loamy,NPK 15-15-15
Cotton,45,40,45,7.8,Silty,NPK 10-26-26
Wheat,39,29,17,6.3,Silty,NPK 15-15-15
Sugarcane,97,44,67,5.9,Silty,NPK 10-26-26
Maize,53,47,37,7.4,Loamy,DAP
Wheat,24,15,24,5.3,Clayey,NPK 15-15-15
Cotton,49,35,32,5.2,Loamy,NPK 10-26-26
Sugarcane,102,40,60,7.5,Loamy,NPK 10-26-26
Sugarcane,95,53,87,6.8,Clayey,DAP
Cotton,49,34,48,5.2,Sandy,NPK 10-26-26
Wheat,35,28,14,6.2,Sandy,NPK 15-15-15
Cotton,50,40,39,8.3,Loamy,NPK 10-26-26
Maize,64,39,30,7.4,Sandy,NPK 10-26-26
Maize,75,39,38,6.8,Clayey,NPK 10-26-26
Cotton,43,23,45,7.8,Loamy,NPK 10-26-26
Wheat,28,25,12,5.2,Clayey,NPK 20-20-0
Sugarcane,109,53,98,7.2,Silty,DAP
Cotton,54,28,41,6.5,Clayey,NPK 10-26-26
Cotton,59,39,43,6.3,Clayey,NPK 10-26-26
Wheat,46,35,24,5.0,Clayey,NPK 10-26-26
Maize,52,41,36,4.8,Sandy,NPK 10-26-26
Wheat,28,11,27,8.5,Silty,NPK 15-15-15
Rice,41,26,29,8.3,Clayey,NPK 10-26-26
Wheat,49,23,19,6.5,Loamy,Urea
Rice,36,35,27,7.9,Silty,NPK 10-26-26
Maize,62,49,38,7.7,Sandy,DAP
Rice,53,30,23,6.9,Clayey,NPK 10-26-26
Wheat,40,17,16,7.9,Silty,NPK 15-15-15
Wheat,50,36,15,5.1,Clayey,Urea
Wheat,48,21,24,5.9,Clayey,NPK 10-26-26
Maize,58,45,27,8.1,Clayey,DAP
Maize,58,48,20,7.8,Clayey,DAP
Maize,55,31,32,8.1,Loamy,NPK 10-26-26
Maize,63,43,26,4.8,Sandy,NPK 10-26-26
Wheat,40,13,20,4.6,Silty,NPK 15-15-15
Wheat,39,32,24,6.2,Silty,NPK 10-26-26
Rice,40,25,29,6.8,Silty,NPK 10-26-26
Maize,66,36,37,8.0,Loamy,NPK 10-26-26
Wheat,42,28,28,6.8,Clayey,NPK 10-26-26
Wheat,27,33,26,6.2,Clayey,NPK 10-26-26
Rice,31,38,29,5.9,Clayey,NPK 10-26-26
Maize,67,40,30,8.3,Silty,NPK 10-26-26
Wheat,36,16,26,4.7,Sandy,NPK 15-15-15
Rice,48,20,11,7.8,Clayey,Urea
Sugarcane,105,52,65,7.0,Sandy,DAP
