Nitrogen (N),Phosphorus (P),Potassium (K),Carbon Emissions (kg),Water Pollution Risk (%),Soil Degradation (Index),Crop Type
36,17,11,4.67,15.9,1.6,Soybean
21,22,12,3.44,13.0,4.6,Wheat
24,5,6,2.77,19.9,4.4,Cotton
36,13,22,4.69,17.6,2.9,Cotton
15,9,40,2.75,13.8,2.9,Cotton
19,7,29,2.83,14.2,1.6,Maize
32,6,36,4.22,16.0,2.6,Rice
31,28,25,5.0,18.2,2.7,Cotton
15,30,34,3.68,15.9,3.1,Soybean
20,20,34,3.68,15.6,1.6,Rice
29,23,6,4.17,13.6,1.0,Maize
20,26,24,3.78,20.1,3.8,Soybean
48,27,15,6.45,23.6,3.9,Wheat
28,9,8,3.41,14.2,2.0,Rice
25,30,16,4.32,15.5,2.2,Rice
24,15,29,3.73,15.5,2.6,Wheat
26,9,25,3.55,19.8,1.1,Soybean
46,19,29,6.13,20.2,3.4,Wheat
13,13,25,2.45,9.1,4.6,Cotton
14,16,34,2.88,11.3,4.9,Soybean
45,22,15,5.9,23.8,3.1,Maize
43,28,38,6.46,17.0,1.2,Maize
41,13,5,4.85,22.6,1.0,Cotton
48,23,13,6.21,19.5,3.9,Wheat
25,30,11,4.22,18.7,3.3,Soybean
31,22,24,4.68,16.5,1.2,Maize
35,5,36,4.47,14.1,2.6,Cotton
47,14,24,5.88,17.8,3.6,Soybean
27,23,11,4.07,21.6,4.3,Wheat
49,11,32,6.09,19.9,3.7,Maize
13,23,9,2.63,19.8,1.7,Maize
49,19,22,6.29,18.5,1.5,Soybean
47,7,5,5.15,18.6,4.0,Maize
24,11,12,3.19,12.8,3.8,Maize
13,30,39,3.58,12.9,4.6,Rice
23,11,40,3.65,11.7,3.9,Cotton
40,16,9,4.98,15.5,4.4,Wheat
23,16,20,3.5,18.9,1.1,Rice
21,10,38,3.36,11.6,1.1,Cotton
36,6,20,4.3,12.8,1.8,Maize
33,17,35,4.85,22.3,1.5,Rice
27,9,13,3.41,11.4,2.3,Wheat
48,13,7,5.59,20.6,1.6,Cotton
37,17,10,4.75,21.9,3.5,Wheat
42,27,29,6.13,22.0,3.4,Soybean
12,12,16,2.12,13.6,4.8,Cotton
12,6,10,1.7,17.2,4.6,Rice
16,29,11,3.27,16.2,4.7,Soybean
43,26,17,5.94,21.0,2.7,Maize
34,20,6,4.52,16.6,2.6,Wheat
40,7,11,4.57,19.6,4.0,Maize
25,12,11,3.32,15.9,4.6,Rice
46,12,28,5.76,18.7,1.7,Wheat
29,28,38,5.06,20.3,5.0,Rice
15,26,19,3.18,10.7,3.8,Rice
46,29,14,6.33,26.1,3.9,Maize
50,24,32,6.84,17.5,4.6,Maize
29,20,13,4.16,22.8,4.9,Cotton
29,23,40,4.85,13.4,4.6,Maize
48,8,26,5.72,18.3,3.9,Cotton
41,8,34,5.18,23.6,2.2,Wheat
23,19,13,3.51,17.5,1.9,Maize
46,24,30,6.4,17.7,2.0,Wheat
13,6,30,2.2,14.4,2.7,Rice
34,14,22,4.54,14.9,2.0,Soybean
20,25,8,3.41,11.6,3.4,Rice
39,23,33,5.71,21.0,3.3,Soybean
16,17,23,2.91,18.8,3.6,Soybean
14,16,5,2.3,16.4,1.0,Rice
37,13,21,4.77,16.3,3.6,Rice
11,5,36,2.07,12.8,4.7,Rice
41,21,17,5.49,23.4,2.0,Wheat
18,5,22,2.49,18.2,2.8,Cotton
34,7,30,4.35,13.9,4.6,Cotton
38,13,5,4.55,16.4,2.5,Rice
28,11,26,3.87,13.8,1.2,Wheat
22,27,35,4.25,15.8,3.7,Rice
21,9,30,3.15,19.1,1.1,Soybean
42,19,23,5.61,20.3,3.1,Cotton
49,28,20,6.7,22.6,1.1,Maize
26,29,36,4.77,15.6,3.1,Soybean
48,17,36,6.37,18.4,2.1,Cotton
26,14,13,3.56,14.3,4.8,Wheat
31,25,27,4.89,22.6,4.7,Wheat
36,8,18,4.36,21.6,3.9,Soybean
30,21,22,4.49,14.2,4.8,Maize
19,5,20,2.55,12.9,4.9,Rice
33,10,27,4.34,12.7,3.8,Rice
50,6,36,6.02,21.6,3.8,Rice
15,10,31,2.62,10.7,4.7,Maize
41,20,22,5.54,16.5,2.2,Cotton
11,11,16,1.97,17.6,1.7,Wheat
50,30,40,7.3,25.4,4.3,Rice
26,7,7,3.09,15.3,2.6,Soybean
45,22,22,6.04,25.3,1.1,Rice
17,17,24,3.03,18.5,3.1,Soybean
11,23,28,2.81,10.2,1.0,Rice
23,11,38,3.61,17.1,4.6,Rice
26,18,30,4.1,13.7,2.0,Rice
41,21,5,5.25,23.1,3.8,Maize
41,13,21,5.17,19.3,2.9,Soybean
36,22,8,4.86,18.3,4.6,Cotton
26,25,35,4.55,15.8,2.8,Wheat
26,15,14,3.63,18.9,2.4,Wheat
50,11,21,5.97,25.8,1.9,Wheat
11,11,12,1.89,13.6,1.5,Rice
39,26,13,5.46,19.8,1.5,Wheat
42,15,30,5.55,20.4,3.5,Soybean
24,28,14,4.08,20.3,4.4,Rice
24,25,20,4.05,17.6,3.9,Maize
27,19,32,4.29,12.9,3.3,Soybean
24,23,20,3.95,20.4,4.7,Maize
24,8,15,3.1,13.7,4.2,Wheat
30,14,13,3.96,19.7,2.7,Cotton
41,23,23,5.71,15.6,2.4,Soybean
13,6,21,2.02,17.1,1.5,Soybean
23,22,23,3.86,17.2,2.6,Wheat
50,8,36,6.12,22.7,1.1,Soybean
20,22,6,3.22,20.7,3.3,Rice
36,9,32,4.69,13.9,3.3,Wheat
39,20,29,5.48,16.2,4.4,Soybean
24,27,8,3.91,19.4,2.0,Cotton
